학원명,도로명주소,분야명,정원합계,Latitude,Longitude
시리우스수학학원,서울특별시 강남구 역삼로 536,입시.검정 및 보습,1405,37.5037491,127.0617296
미래탐구학원,서울특별시 강남구 도곡로63길 12,입시.검정 및 보습,0,37.4978196,127.0546022
생각비타민국어학원,서울특별시 강남구 삼성로 313,입시.검정 및 보습,70,37.4998263,127.0600673
씨앤에이논술학원,서울특별시 강남구 도곡로 450,입시.검정 및 보습,340,37.4981124,127.0597594
수학전문로커스학원,서울특별시 강남구 개포로82길 7,입시.검정 및 보습,45,37.4887765,127.0673245
정진수학학원,서울특별시 강남구 도곡로78길 22,입시.검정 및 보습,33,37.4963866,127.058402
영독대치학원,서울특별시 강남구 남부순환로 2942,입시.검정 및 보습,340,37.4935818,127.0623994
명석학원,서울특별시 강남구 도곡로 447,종합(대),140,37.4987688,127.0593926
프리미어학원,서울특별시 강남구 남부순환로 2935,입시.검정 및 보습,156,37.4940247,127.0613442
조엘통찰수학학원,서울특별시 강남구 도곡로 438,입시.검정 및 보습,30,37.4978146,127.0584142
청담해법수학학원,서울특별시 강남구 학동로 419,입시.검정 및 보습,140,37.5183507,127.0459641
시대인재5관학원,서울특별시 강남구 삼성로 231,입시.검정 및 보습,10530,37.49782769999999,127.0610138
다원매쓰아이(Math i)학원,서울특별시 강남구 삼성로 227,입시.검정 및 보습,500,37.4974041,127.0612407
에이원아카데미보습학원,서울특별시 강남구 논현로175길 109,입시.검정 및 보습,84,37.5223434,127.0206231
대치필학원,서울특별시 강남구 삼성로 150,입시.검정 및 보습,140,37.4933928,127.0673501
아이디(ID)솔루션(Solution)학원,서울특별시 강남구 삼성로71길 16,입시.검정 및 보습,3200,37.5021692,127.0575619
올마이티캠퍼스2관학원,서울특별시 강남구 선릉로 328,입시.검정 및 보습,58,37.4990597,127.0519305
현대에이플러스보습학원,서울특별시 강남구 삼성로115길 46,입시.검정 및 보습,22,37.5140146,127.0483999
생각이크는학원,서울특별시 강남구 언주로 110,입시.검정 및 보습,60,37.4845146,127.054174
필즈보습학원,서울특별시 강남구 압구정로18길 7,입시.검정 및 보습,12,37.5244294,127.0245945
대치수재보습학원,서울특별시 강남구 도곡로77길 14,입시.검정 및 보습,20,37.4992943,127.0585913
이비보습학원,서울특별시 강남구 압구정로 122,입시.검정 및 보습,45,37.5236605,127.0220714
수서신동아독서실,서울특별시 강남구 광평로47길 17,독서실,128,37.4870722,127.0984431
인사이트영재학원,서울특별시 강남구 도곡로 515,입시.검정 및 보습,135,37.4998352,127.0626495
서울현대음악학원,서울특별시 강남구 압구정로54길 14,예능(대),325,37.5270122,127.0393337
이엠보습학원,서울특별시 강남구 압구정로29길 67,입시.검정 및 보습,8,37.5319894,127.0269384
반석음악학원,서울특별시 강남구 개포로 249,예능(대),150,37.47922519999999,127.0496679
슈파스학원,서울특별시 강남구 삼성로 307,입시.검정 및 보습,144,37.4994104,127.0602933
한솔건축토목학원,서울특별시 강남구 강남대로42길 13,종합(대),610,37.4855463,127.0351487
대치상아보습학원,서울특별시 강남구 도곡로78길 9,입시.검정 및 보습,14,37.4975137,127.0593835
대치청담어학학원,서울특별시 강남구 도곡로 456,종합(대),158,37.4982956,127.0603287
원탑보습학원,서울특별시 강남구 남부순환로 2936,입시.검정 및 보습,226,37.4933573,127.0619092
수행과수능학원,서울특별시 강남구 선릉로64길 14,종합(대),1355,37.497798,127.0534412
삼성경기보습학원,서울특별시 강남구 봉은사로63길 12,입시.검정 및 보습,15,37.5121776,127.0471373
씨이에스학원,서울특별시 강남구 선릉로16길 6,입시.검정 및 보습,45,37.48382369999999,127.0601066
강남하이퍼3학원,서울특별시 강남구 강남대로92길 35,입시.검정 및 보습,72,37.4995579,127.0303052
현대음악학원,서울특별시 강남구 압구정로29길 68,예능(대),225,37.5319756,127.0285632
대림우등생학원,서울특별시 강남구 강남대로122길 26,입시.검정 및 보습,63,37.508223,127.025171
일원열린학원,서울특별시 강남구 일원로3길 54,입시.검정 및 보습,40,37.4924024,127.0842333
시대인재수학스쿨별관3학원,서울특별시 강남구 도곡로 434,입시.검정 및 보습,10530,37.4976364,127.0579549
리더스영어교습소,서울특별시 강남구 일원로3길 34,입시.검정 및 보습,12,37.4919468,127.0831146
윤선생아이지에스이(IGSE)아카데미도곡학원,서울특별시 강남구 남부순환로363길 15,입시.검정 및 보습,135,37.4862718,127.0377353
역삼실용음악학원,서울특별시 강남구 언주로 301,예능(대),100,37.49441910000001,127.0462542
원(元)수학4관학원,서울특별시 강남구 삼성로57길 22,입시.검정 및 보습,10530,37.4978398,127.0592568
맥사이언스과학교습소,서울특별시 강남구 개포로 512,입시.검정 및 보습,21,37.4892714,127.0688177
수학세상학원,서울특별시 강남구 논현로175길 59-6,입시.검정 및 보습,84,37.5239546,127.0242293
독수리수학전문학원,서울특별시 강남구 삼성로 225,입시.검정 및 보습,30,37.4971742,127.0613516
카이스트과학사랑교습소,서울특별시 강남구 압구정로18길 7,입시.검정 및 보습,3,37.5244294,127.0245945
다솔학원,서울특별시 강남구 삼성로 329,입시.검정 및 보습,704,37.5010216,127.0594045
홍익화실미술교습소,서울특별시 강남구 개포로 512,예능(대),18,37.4892714,127.0688177
탑브레인학원,서울특별시 서초구 강남대로 627,입시.검정 및 보습,32,37.5176791,127.0186716
오르앤수학보습학원,서울특별시 강남구 남부순환로 2921,입시.검정 및 보습,80,37.4936059,127.0597001
매쓰무적학원,서울특별시 강남구 남부순환로 2912,입시.검정 및 보습,91,37.4908388,127.0572409
애플트리압구정어학학원,서울특별시 강남구 압구정로 206,종합(대),852,37.5273244,127.0295867
프라우드세븐학원,서울특별시 강남구 삼성로51길 8,입시.검정 및 보습,48,37.4968411,127.0610624
토마토피아노교습소,서울특별시 강남구 삼성로115길 37,예능(대),12,37.5140229,127.0491662
로고스논술구술학원,서울특별시 강남구 삼성로 238,종합(대),114,37.4986375,127.0614624
아카데미라운지도곡독서실,서울특별시 강남구 도곡로 174,독서실,80,37.4913335,127.0384772
시그마베스트학원,서울특별시 강남구 도곡로 184,입시.검정 및 보습,57,37.4916885,127.0397809
입체조형미술학원,서울특별시 강남구 선릉로82길 7,예능(대),4425,37.5026506,127.0507057
대치2관정상어학원,서울특별시 강남구 영동대로 229,종합(대),1155,37.4995718,127.0674703
강남하이클래스보습학원,서울특별시 강남구 언주로 118,입시.검정 및 보습,4,37.4865165,127.0518831
조미선국어학원,서울특별시 강남구 삼성로 317,입시.검정 및 보습,100,37.5002043,127.0598326
이-스페셜리스트영어학원,서울특별시 강남구 도곡로 521,입시.검정 및 보습,16,37.5000321,127.0632277
압구정파인만초등관학원,서울특별시 강남구 압구정로32길 11,입시.검정 및 보습,459,37.5269161,127.0302159
이앤이학원,서울특별시 강남구 강남대로120길 46,입시.검정 및 보습,96,37.5077473,127.0269038
도민서당한문교습소,서울특별시 강남구 개포로22길 90,입시.검정 및 보습,27,37.4750114,127.0527234
펜토매쓰피엘수학학원,서울특별시 강남구 선릉로 227,입시.검정 및 보습,48,37.4958321,127.0527291
아이비영어교습소,서울특별시 강남구 개포로110길 15,입시.검정 및 보습,15,37.4922926,127.0783273
청출어람학원,서울특별시 강남구 선릉로62길 29,입시.검정 및 보습,92,37.4979282,127.054936
시대인재스톤관학원,서울특별시 강남구 도곡로77길 3,입시.검정 및 보습,13120,37.4984471,127.0584639
브이에스(VS)비상학원,서울특별시 강남구 남부순환로 2936,입시.검정 및 보습,190,37.4933573,127.0619092
압구정국어논술전문학원,서울특별시 강남구 논현로164길 6,입시.검정 및 보습,85,37.5236143,127.0288819
아이러브뮤직음악학원,서울특별시 강남구 도산대로 510,예능(대),30,37.5239761,127.0488778
지혜의샘학원,서울특별시 강남구 도곡로77길 26,입시.검정 및 보습,100,37.4999822,127.058129
김정해프랑스어교습소,서울특별시 강남구 도곡로 423,입시.검정 및 보습,4,37.497826,127.0567677
대치원(元)수학학원,서울특별시 강남구 도곡로78길 7,입시.검정 및 보습,150,37.4976259,127.0593292
앞서가는수학교습소,서울특별시 강남구 삼성로67길 47,입시.검정 및 보습,32,37.5000401,127.05582
