학교종류명,학교명,도로명주소,Latitude,Longitude,2023
초등학교,서울사당초등학교,서울특별시 관악구 남현4길 51,37.4741386,126.9743404,19.5
초등학교,서울봉현초등학교,서울특별시 관악구 성현로 117,37.4909513,126.9551678,19.5
초등학교,서울봉천초등학교,서울특별시 관악구 행운1라길 17,37.48313640000001,126.9578612,19.5
초등학교,서울본동초등학교,서울특별시 동작구 노량진로26길 16-40,37.5105672,126.9540399,21.1
초등학교,서울보라매초등학교,서울특별시 동작구 여의대방로16길 30,37.49572070000001,126.9161111,21.1
초등학교,서울미성초등학교,서울특별시 관악구 문성로 79,37.4780229,126.9112511,19.5
초등학교,서울문창초등학교,서울특별시 동작구 신대방2길 14,37.4889443,126.9138717,21.1
초등학교,서울동작초등학교,서울특별시 동작구 동작대로29길 214,37.4940445,126.9770106,21.1
초등학교,서울대림초등학교,서울특별시 동작구 대방동1길 22,37.5006252,126.9256931,21.1
초등학교,서울당곡초등학교,서울특별시 관악구 보라매로2길 23,37.4902061,126.9300073,19.5
초등학교,서울노량진초등학교,서울특별시 동작구 장승배기로 160,37.5119189,126.9404152,21.1
초등학교,서울남성초등학교,서울특별시 동작구 사당로23길 57-14,37.4845922,126.9757041,21.1
초등학교,서울남사초등학교,서울특별시 동작구 동작대로13길 22,37.4823432,126.9788623,21.1
초등학교,서울남부초등학교,서울특별시 관악구 남부순환로163길 14,37.4848898,126.9221483,19.5
초등학교,서울난향초등학교,서울특별시 관악구 난향길 9,37.4621543,126.91801,19.5
초등학교,서울난우초등학교,서울특별시 관악구 난우길 40,37.4766125,126.9177438,19.5
초등학교,서울난곡초등학교,서울특별시 관악구 난곡로35길 102,37.4692461,126.9170719,19.5
초등학교,서울구암초등학교,서울특별시 관악구 구암길 1,37.4892698,126.9469886,19.5
초등학교,서울관악초등학교,서울 관악구 청룡4길 49,37.4806341,126.9432666,19.5
초등학교,서울강남초등학교,서울특별시 동작구 강남초등길 15,37.5061028,126.9527814,21.1
초등학교,서울위례솔초등학교,서울특별시 송파구 위례북로2길 12,37.4870071,127.1505885,22.2
초등학교,서울강빛초등학교,서울특별시 강동구 아리수로93다길 1,37.5744814,127.171308,22.0
초등학교,서울고현초등학교,서울특별시 강동구 상일로11길 110,37.5540265,127.1658663,22.0
초등학교,서울해누리초등학교,서울특별시 송파구 송파대로37길 95,37.4982444,127.1021918,22.2
초등학교,서울강솔초등학교,서울특별시 강동구 고덕로97길 80,37.5620986,127.180572,22.0
초등학교,서울위례별초등학교,서울특별시 송파구 위례광장로 243,37.47882,127.1450435,22.2
초등학교,서울한산초등학교,서울특별시 강동구 풍성로 261,37.5280975,127.1414832,22.0
초등학교,서울풍성초등학교,서울특별시 송파구 강동대로2길 13,37.5260639,127.1132662,22.2
초등학교,서울풍납초등학교,서울특별시 송파구 풍성로 43,37.5347879,127.1179092,22.2
초등학교,서울평화초등학교,서울특별시 송파구 송파대로26길 22,37.49138850000001,127.1223688,22.2
초등학교,서울토성초등학교,서울특별시 송파구 풍성로20길 44,37.53180589999999,127.1151781,22.2
초등학교,서울천호초등학교,서울특별시 강동구 구천면로 310-11,37.5472435,127.1363564,22.0
초등학교,서울천일초등학교,서울특별시 강동구 구천면로 266,37.5440326,127.1330243,22.0
초등학교,서울천동초등학교,서울특별시 강동구 성안로 200,37.5405873,127.1376054,22.0
초등학교,서울중대초등학교,서울특별시 송파구 송파대로36길 8,37.5000495,127.1137683,22.2
초등학교,서울잠현초등학교,서울특별시 송파구 올림픽로37길 109,37.5224117,127.1047662,22.2
초등학교,서울잠전초등학교,서울특별시 송파구 올림픽로12길 51,37.5067798,127.0842121,22.2
초등학교,서울잠일초등학교,서울특별시 송파구 올림픽로 95,37.514693,127.0815433,22.2
초등학교,서울잠실초등학교,서울특별시 송파구 올림픽로35길 20,37.5201075,127.1112729,22.2
초등학교,서울잠신초등학교,서울특별시 송파구 잠실로 32,37.5139836,127.0882126,22.2
초등학교,서울잠동초등학교,서울특별시 송파구 올림픽로35길 122,37.517964,127.1000485,22.2
초등학교,서울위례초등학교,서울특별시 강동구 명일로 23,37.5220776,127.1393156,22.0
초등학교,서울오륜초등학교,서울특별시 송파구 양재대로 1196,37.5120578,127.1345437,22.2
초등학교,서울오금초등학교,서울특별시 송파구 위례성대로22길 11,37.5091515,127.1318058,22.2
초등학교,서울영풍초등학교,서울특별시 송파구 오금로57길 15,37.4959957,127.1429659,22.2
초등학교,서울아주초등학교,서울특별시 송파구 올림픽로4길 59,37.505199,127.0759074,22.2
초등학교,서울신천초등학교,서울특별시 송파구 올림픽로 215,37.5136269,127.0951912,22.2
초등학교,서울신암초등학교,서울특별시 강동구 올림픽로93길 33-16,37.54927259999999,127.1243068,22.0
초등학교,서울신명초등학교,서울특별시 강동구 명일로24길 33,37.5413036,127.1495185,22.0
초등학교,서울신가초등학교,서울특별시 송파구 송이로 75,37.499982,127.1200903,22.2
초등학교,서울송파초등학교,서울특별시 송파구 백제고분로 400,37.5070489,127.1107543,22.2
초등학교,서울송전초등학교,서울특별시 송파구 석촌호수로 159,37.5084498,127.094814,22.2
초등학교,서울송례초등학교,서울특별시 송파구 위례순환로 439,37.4777338,127.1385039,22.2
초등학교,서울세륜초등학교,서울특별시 송파구 양재대로 1264,37.518577,127.1337805,22.2
초등학교,서울성일초등학교,서울특별시 강동구 성내로15길 33,37.5291419,127.128352,22.0
초등학교,서울성내초등학교,서울특별시 강동구 성내로3길 19,37.531228,127.1223365,22.0
초등학교,서울선사초등학교,서울특별시 강동구 올림픽로 837,37.5560275,127.1287608,22.0
초등학교,서울선린초등학교,서울특별시 강동구 진황도로61길 29,37.5292675,127.1457383,22.0
초등학교,서울석촌초등학교,서울특별시 송파구 가락로11길 26,37.5025525,127.1047464,22.2
초등학교,서울상일초등학교,서울특별시 강동구 천호대로 1477,37.54710470000001,127.1722921,22.0
초등학교,서울삼전초등학교,서울특별시 송파구 백제고분로28길 19,37.5014438,127.0926088,22.2
초등학교,서울버들초등학교,서울특별시 송파구 석촌호수로 81,37.5102634,127.0890916,22.2
초등학교,서울방이초등학교,서울특별시 송파구 위례성대로10길 4,37.5133996,127.1209514,22.2
초등학교,서울방산초등학교,서울특별시 송파구 오금로27길 42,37.5093853,127.1209624,22.2
초등학교,서울문현초등학교,서울특별시 송파구 충민로 137,37.4826368,127.1302714,22.2
초등학교,서울문정초등학교,서울특별시 송파구 문정로5길 20,37.4889157,127.1286451,22.2
초등학교,서울문덕초등학교,서울특별시 송파구 송이로34길 60,37.4849928,127.1275979,22.2
초등학교,서울묘곡초등학교,서울특별시 강동구 동남로79길 46,37.5582374,127.1532582,22.0
초등학교,서울명일초등학교,서울특별시 강동구 고덕로38길 8,37.5539222,127.1419775,22.0
초등학교,서울명원초등학교,서울특별시 강동구 명일로 364,37.5509277,127.1504473,22.0
초등학교,서울명덕초등학교,서울특별시 강동구 양재대로156길 11,37.5569095,127.1460394,22.0
초등학교,서울마천초등학교,서울특별시 송파구 마천로61다길 24,37.4953435,127.1523231,22.2
초등학교,서울둔촌초등학교,서울특별시 강동구 양재대로88길 27,37.5258587,127.1372794,22.0
초등학교,서울대명초등학교,서울특별시 강동구 상암로 271,37.5471622,127.1532982,22.0
초등학교,서울남천초등학교,서울특별시 송파구 성내천로 207,37.5011138,127.150812,22.2
초등학교,서울길동초등학교,서울특별시 강동구 양재대로116길 69,37.5382633,127.1444728,22.0
초등학교,서울고일초등학교,서울특별시 강동구 구천면로93길 20,37.5520548,127.1688703,22.0
초등학교,서울고명초등학교,서울특별시 강동구 고덕로46길 53,37.5526417,127.1468748,22.0
초등학교,서울고덕초등학교,서울특별시 강동구 아리수로82길 42,37.560771,127.1665894,22.0
초등학교,서울거원초등학교,서울특별시 송파구 양산로2길 26,37.4878199,127.1450246,22.2
초등학교,서울거여초등학교,서울특별시 송파구 마천로25길 18,37.5048584,127.1407471,22.2
초등학교,서울개롱초등학교,서울특별시 송파구 문정로 211,37.4971691,127.1397585,22.2
