학교종류명,학교명,도로명주소,Latitude,Longitude,2023
중학교,오주중학교,서울특별시 송파구 동남로 281,37.5011986,127.1362109,24.0
중학교,오륜중학교,서울특별시 송파구 양재대로 1242,37.5160608,127.1387641,24.0
중학교,오금중학교,서울특별시 송파구 오금로35길 20,37.5049464,127.1284317,24.0
중학교,영파여자중학교,서울특별시 송파구 올림픽로 565,37.5324827,127.1201931,24.0
중학교,아주중학교,서울특별시 송파구 올림픽로4길 69,37.505199,127.0759074,24.0
중학교,신천중학교,서울특별시 송파구 백제고분로 11,37.5160002,127.078419,24.0
중학교,신암중학교,서울특별시 강동구 고덕로 65,37.5556158,127.1330889,24.0
중학교,신명중학교,서울특별시 강동구 명일로24길 25,37.5413036,127.1495185,24.0
중학교,송파중학교,서울특별시 송파구 동남로 203,37.4956901,127.1298641,24.0
중학교,송례중학교,서울특별시 송파구 위례순환로 429,37.4776941,127.1397417,24.0
중학교,세륜중학교,서울특별시 송파구 양재대로72길 41,37.5085049,127.1313909,24.0
중학교,성덕여자중학교,서울특별시 강동구 구천면로 396,37.54990799999999,127.1421871,24.0
중학교,성내중학교,서울특별시 강동구 성안로7길 36,37.528762,127.1295964,24.0
중학교,석촌중학교,서울특별시 송파구 송이로15길 13,37.5007135,127.1212783,24.0
중학교,서울체육중학교,서울특별시 송파구 강동대로 232,37.5219241,127.1298027,24.0
중학교,보인중학교,서울특별시 송파구 오금로49길 18,37.4976627,127.1385291,24.0
중학교,보성중학교,서울특별시 송파구 양재대로 1278,37.5197609,127.134583,24.0
중학교,배재중학교,서울특별시 강동구 고덕로 227,37.5556055,127.1509449,24.0
중학교,배명중학교,서울특별시 송파구 삼학사로 11,37.4984314,127.0958014,24.0
중학교,방이중학교,서울특별시 송파구 오금로11길 64,37.5145103,127.1130209,24.0
중학교,방산중학교,서울특별시 송파구 오금로29길 31,37.5090765,127.1217586,24.0
중학교,문현중학교,서울특별시 송파구 충민로 99,37.4804368,127.1278203,24.0
중학교,문정중학교,서울특별시 송파구 문정로 73,37.4881775,127.1296971,24.0
중학교,명일중학교,서울특별시 강동구 양재대로156길 57,37.5569588,127.1479413,24.0
중학교,둔촌중학교,서울특별시 강동구 진황도로61길 25-30,37.53033610000001,127.1462142,24.0
중학교,동신중학교,서울특별시 강동구 진황도로 72,37.5365879,127.134159,24.0
중학교,동북중학교,서울특별시 강동구 강동대로 305,37.5198265,127.1404119,24.0
중학교,고덕중학교,서울특별시 강동구 동남로82길 94,37.5600325,127.161258,24.0
중학교,거원중학교,서울특별시 송파구 양산로2길 30,37.4876678,127.1462762,24.0
중학교,강일중학교,서울특별시 강동구 고덕로27길 12,37.5552291,127.1382712,24.0
중학교,강명중학교,서울특별시 강동구 상일로12길 56,37.5555055,127.1751077,24.0
중학교,강동중학교,서울특별시 강동구 풍산로 237,37.5752613,127.1736427,24.0
중학교,가원중학교,서울특별시 송파구 중대로10길 40-18,37.490786,127.1228845,24.0
중학교,가락중학교,서울특별시 송파구 송이로 45,37.5021959,127.1183349,24.0
중학교,솔샘중학교,서울특별시 강북구 인수봉로 39,37.6236568,127.0122142,23.8
중학교,서울대학교사범대학부설중학교,서울특별시 성북구 월곡로 36,37.5941741,127.0385809,23.1
중학교,숭곡중학교,서울특별시 성북구 종암로 208,37.6082661,127.0314698,23.1
중학교,영훈국제중학교,서울특별시 강북구 도봉로13가길 19,37.6137546,127.0277791,23.8
중학교,홍익대학교사범대학부속중학교,서울특별시 성북구 성북로14가길 23,37.5944197,127.0034086,23.1
중학교,한성여자중학교,서울특별시 성북구 삼선교로16길 118,37.5822716,127.0114719,23.1
중학교,창문여자중학교,서울특별시 강북구 월계로 61,37.6127845,127.0365211,23.8
중학교,신일중학교,서울특별시 강북구 솔매로49길 20,37.62818420000001,127.0274617,23.8
중학교,성암여자중학교,서울특별시 강북구 도봉로29길 52,37.6208515,127.0243624,23.8
중학교,성신여자중학교,서울특별시 성북구 북악산로 918,37.5941845,127.0229716,23.1
중학교,서라벌중학교,서울특별시 강북구 삼양로155길 37-9,37.6565948,127.011065,23.8
중학교,동구여자중학교,서울특별시 성북구 성북로8길 71,37.5935602,127.0071545,23.1
중학교,남대문중학교,서울특별시 성북구 한천로 660-30,37.6175362,127.0558341,23.1
중학교,고명중학교,서울특별시 성북구 북악산로 870,37.5979487,127.0198639,23.1
중학교,고려대학교사범대학부속중학교,서울특별시 성북구 정릉로 161,37.6097738,127.0017197,23.1
중학교,길음중학교,서울특별시 성북구 길음로 144,37.6139045,127.0174177,23.1
중학교,화계중학교,서울특별시 강북구 화계사길 63,37.6325041,127.0102525,23.8
중학교,종암중학교,서울특별시 성북구 종암로5길 80-17,37.59294149999999,127.0323422,23.1
중학교,장위중학교,서울특별시 성북구 장위로4길 70,37.6115315,127.0411882,23.1
중학교,인수중학교,서울특별시 강북구 인수봉로75길 10,37.643726,127.0101689,23.8
중학교,월곡중학교,서울특별시 성북구 장월로 6,37.6066739,127.0480884,23.1
중학교,용문중학교,서울특별시 성북구 고려대로17가길 46,37.588061,127.0247669,23.1
중학교,수유중학교,서울특별시 강북구 인수봉로37길 40,37.6309076,127.0105366,23.8
중학교,수송중학교,서울특별시 강북구 한천로122길 21,37.6366483,127.0336696,23.8
중학교,석관중학교,서울특별시 성북구 한천로 526,37.6079,127.0665573,23.1
중학교,삼선중학교,서울특별시 성북구 동소문로3길 69,37.591526,127.008578,23.1
중학교,삼각산중학교,서울특별시 강북구 삼양로19길 141,37.6160105,127.0146386,23.8
중학교,북악중학교,서울특별시 성북구 정릉로12길 41,37.6066572,127.0019421,23.1
중학교,번동중학교,서울특별시 강북구 오현로35길 87,37.6321871,127.0367164,23.8
중학교,개운중학교,서울특별시 성북구 북악산로 935,37.5947744,127.0248598,23.1
중학교,강북중학교,서울특별시 강북구 한천로150길 67,37.6447952,127.0258828,23.8
중학교,내곡중학교,서울특별시 서초구 청계산로7길 9-20,37.4519598,127.0543743,27.4
중학교,세곡중학교,서울특별시 강남구 자곡로 81,37.4718217,127.0922433,29.5
중학교,휘문중학교,서울특별시 강남구 역삼로 541,37.505133,127.0621203,29.5
중학교,진선여자중학교,서울특별시 강남구 선릉로85길 27,37.50170749999999,127.047566,29.5
중학교,중동중학교,서울특별시 강남구 일원로8길 37,37.48881280000001,127.0781895,29.5
중학교,은성중학교,서울특별시 강남구 남부순환로359길 36,37.4877477,127.0360047,29.5
중학교,숙명여자중학교,서울특별시 강남구 남부순환로 2807,37.4910237,127.0530476,29.5
중학교,세화여자중학교,서울특별시 서초구 신반포로 56-7,37.5016412,126.9917604,27.4
중학교,서문여자중학교,서울특별시 서초구 동광로12길 84,37.48889800000001,126.9851002,27.4
중학교,동덕여자중학교,서울특별시 서초구 효령로2길 123-5,37.4762931,126.9926473,27.4
중학교,단국대학교사범대학부속중학교,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676,29.5
중학교,청담중학교,서울특별시 강남구 압구정로61길 36,37.5288594,127.0453485,29.5
중학교,이수중학교,서울특별시 서초구 방배중앙로3길 32,37.4808274,126.9904099,27.4
중학교,원촌중학교,서울특별시 서초구 사평대로45길 10,37.5059213,127.0141459,27.4
중학교,영동중학교,서울특별시 서초구 성촌길 14,37.4658251,127.0252698,27.4
중학교,역삼중학교,서울특별시 강남구 도곡로43길 10,37.4956492,127.0488665,29.5
중학교,언주중학교,서울특별시 강남구 선릉로116길 57,37.5141798,127.0468995,29.5
중학교,언북중학교,서울특별시 강남구 도산대로38길 27,37.5191189,127.0332439,29.5
중학교,언남중학교,서울특별시 서초구 동산로 55,37.4721297,127.044295,27.4
중학교,압구정중학교,서울특별시 강남구 압구정로 225,37.5298898,127.0330227,29.5
중학교,신사중학교,서울특별시 강남구 압구정로 123,37.5243401,127.0212559,29.5
중학교,신반포중학교,서울특별시 서초구 신반포로19길 26,37.5056886,126.9961383,27.4
중학교,신동중학교,서울특별시 서초구 나루터로 27,37.5163364,127.0130017,27.4
중학교,신구중학교,서울특별시 강남구 압구정로36길 17,37.5270043,127.0322095,29.5
중학교,수서중학교,서울특별시 강남구 광평로59길 57,37.490992,127.1026306,29.5
중학교,서초중학교,서울특별시 서초구 반포대로13길 48,37.4852135,127.0089395,27.4
중학교,서일중학교,서울특별시 서초구 서운로21길 2,37.4989453,127.022703,27.4
중학교,서운중학교,서울특별시 서초구 서운로 115,37.4937584,127.0247313,27.4
중학교,봉은중학교,서울특별시 강남구 영동대로128길 59,37.5190896,127.0627832,29.5
중학교,방배중학교,서울특별시 서초구 동광로 144,37.4945108,126.9984616,27.4
중학교,반포중학교,서울특별시 서초구 신반포로 67,37.5030523,126.9921682,27.4
중학교,도곡중학교,서울특별시 강남구 언주로57길 31,37.4924854,127.0450824,29.5
중학교,대치중학교,서울특별시 강남구 남부순환로378길 39,37.4841743,127.0477298,29.5
중학교,대청중학교,서울특별시 강남구 양재천로 321,37.4901314,127.0585502,29.5
중학교,대왕중학교,서울특별시 강남구 광평로20길 7,37.4831335,127.0873945,29.5
중학교,대명중학교,서울특별시 강남구 역삼로87길 26,37.5060559,127.061066,29.5
중학교,구룡중학교,서울특별시 강남구 선릉로 103,37.4858999,127.0564272,29.5
중학교,경원중학교,서울특별시 서초구 신반포로33길 39,37.5110363,127.009306,27.4
중학교,개포중학교,서울특별시 강남구 선릉로 9,37.4804726,127.0620792,29.5
중학교,개원중학교,서울특별시 강남구 영동대로 101,37.4913769,127.0714248,29.5
