"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2023
"합계","강북구",초등학교,학급현황,학급수 (학급),412
"합계","강북구",초등학교,학급현황,학급당학생수 (명),20.7
"합계","강북구",중학교,학생수 (명),소계,5696
"합계","강북구",중학교,학급현황,학급수 (학급),239
"합계","강북구",중학교,학급현황,학급당학생수 (명),23.8
"합계","강북구",고등학교,학생수 (명),소계,5120
"합계","강북구",고등학교,학급현황,학급수 (학급),208
"합계","강북구",고등학교,학급현황,학급당학생수 (명),24.6
"합계","도봉구",유치원,원아수 (명),소계,1914
"합계","도봉구",유치원,학급현황,학급수 (학급),118
"합계","도봉구",유치원,학급현황,학급당원아수 (명),16.2
"합계","도봉구",초등학교,학생수 (명),소계,12864
"합계","도봉구",초등학교,학급현황,학급수 (학급),633
"합계","도봉구",초등학교,학급현황,학급당학생수 (명),20.3
"합계","도봉구",중학교,학생수 (명),소계,5839
"합계","도봉구",중학교,학급현황,학급수 (학급),264
"합계","도봉구",중학교,학급현황,학급당학생수 (명),22.1
"합계","도봉구",고등학교,학생수 (명),소계,5906
"합계","도봉구",고등학교,학급현황,학급수 (학급),270
"합계","도봉구",고등학교,학급현황,학급당학생수 (명),21.9
"합계","노원구",유치원,원아수 (명),소계,4608
"합계","노원구",유치원,학급현황,학급수 (학급),275
"합계","노원구",유치원,학급현황,학급당원아수 (명),16.8
"합계","노원구",초등학교,학생수 (명),소계,22748
"합계","노원구",초등학교,학급현황,학급수 (학급),1102
"합계","노원구",초등학교,학급현황,학급당학생수 (명),20.6
"합계","노원구",중학교,학생수 (명),소계,13782
"합계","노원구",중학교,학급현황,학급수 (학급),595
"합계","노원구",중학교,학급현황,학급당학생수 (명),23.2
"합계","노원구",고등학교,학생수 (명),소계,17140
"합계","노원구",고등학교,학급현황,학급수 (학급),815
"합계","노원구",고등학교,학급현황,학급당학생수 (명),21.0
"합계","은평구",유치원,원아수 (명),소계,2869
"합계","은평구",유치원,학급현황,학급수 (학급),182
"합계","은평구",유치원,학급현황,학급당원아수 (명),15.8
"합계","은평구",초등학교,학생수 (명),소계,18644
"합계","은평구",초등학교,학급현황,학급수 (학급),891
"합계","은평구",초등학교,학급현황,학급당학생수 (명),20.9
"합계","은평구",중학교,학생수 (명),소계,9564
"합계","은평구",중학교,학급현황,학급수 (학급),418
"합계","은평구",중학교,학급현황,학급당학생수 (명),22.9
"합계","은평구",고등학교,학생수 (명),소계,11564
"합계","은평구",고등학교,학급현황,학급수 (학급),515
"합계","은평구",고등학교,학급현황,학급당학생수 (명),22.5
"합계","서대문구",유치원,원아수 (명),소계,2072
"합계","서대문구",유치원,학급현황,학급수 (학급),106
"합계","서대문구",유치원,학급현황,학급당원아수 (명),19.5
"합계","서대문구",초등학교,학생수 (명),소계,12865
"합계","서대문구",초등학교,학급현황,학급수 (학급),589
"합계","서대문구",초등학교,학급현황,학급당학생수 (명),21.8
"합계","서대문구",중학교,학생수 (명),소계,5756
"합계","서대문구",중학교,학급현황,학급수 (학급),262
"합계","서대문구",중학교,학급현황,학급당학생수 (명),22.0
"합계","서대문구",고등학교,학생수 (명),소계,4823
"합계","서대문구",고등학교,학급현황,학급수 (학급),200
"합계","서대문구",고등학교,학급현황,학급당학생수 (명),24.1
"합계","마포구",유치원,원아수 (명),소계,2542
"합계","마포구",유치원,학급현황,학급수 (학급),138
"합계","마포구",유치원,학급현황,학급당원아수 (명),18.4
"합계","마포구",초등학교,학생수 (명),소계,13364
"합계","마포구",초등학교,학급현황,학급수 (학급),642
"합계","마포구",초등학교,학급현황,학급당학생수 (명),20.8
"합계","마포구",중학교,학생수 (명),소계,7209
"합계","마포구",중학교,학급현황,학급수 (학급),298
"합계","마포구",중학교,학급현황,학급당학생수 (명),24.2
"합계","마포구",고등학교,학생수 (명),소계,5646
"합계","마포구",고등학교,학급현황,학급수 (학급),241
"합계","마포구",고등학교,학급현황,학급당학생수 (명),23.4
"합계","양천구",유치원,원아수 (명),소계,3176
"합계","양천구",유치원,학급현황,학급수 (학급),196
"합계","양천구",유치원,학급현황,학급당원아수 (명),16.2
"합계","양천구",초등학교,학생수 (명),소계,21801
"합계","양천구",초등학교,학급현황,학급수 (학급),984
"합계","양천구",초등학교,학급현황,학급당학생수 (명),22.2
"합계","양천구",중학교,학생수 (명),소계,15136
"합계","양천구",중학교,학급현황,학급수 (학급),584
"합계","양천구",중학교,학급현황,학급당학생수 (명),25.9
"합계","양천구",고등학교,학생수 (명),소계,11930
"합계","양천구",고등학교,학급현황,학급수 (학급),472
"합계","양천구",고등학교,학급현황,학급당학생수 (명),25.3
"합계","강서구",유치원,원아수 (명),소계,4054
"합계","강서구",유치원,학급현황,학급수 (학급),232
"합계","강서구",유치원,학급현황,학급당원아수 (명),17.5
"합계","강서구",초등학교,학생수 (명),소계,23699
"합계","강서구",초등학교,학급현황,학급수 (학급),1132
"합계","강서구",초등학교,학급현황,학급당학생수 (명),20.9
"합계","강서구",중학교,학생수 (명),소계,10312
"합계","강서구",중학교,학급현황,학급수 (학급),434
"합계","강서구",중학교,학급현황,학급당학생수 (명),23.8
"합계","강서구",고등학교,학생수 (명),소계,13149
"합계","강서구",고등학교,학급현황,학급수 (학급),596
"합계","강서구",고등학교,학급현황,학급당학생수 (명),22.1
"합계","구로구",유치원,원아수 (명),소계,2464
"합계","구로구",유치원,학급현황,학급수 (학급),141
"합계","구로구",유치원,학급현황,학급당원아수 (명),17.5
"합계","구로구",초등학교,학생수 (명),소계,16334
"합계","구로구",초등학교,학급현황,학급수 (학급),799
"합계","구로구",초등학교,학급현황,학급당학생수 (명),20.4
"합계","구로구",중학교,학생수 (명),소계,7889
"합계","구로구",중학교,학급현황,학급수 (학급),345
"합계","구로구",중학교,학급현황,학급당학생수 (명),22.9
"합계","구로구",고등학교,학생수 (명),소계,8817
"합계","구로구",고등학교,학급현황,학급수 (학급),364
"합계","구로구",고등학교,학급현황,학급당학생수 (명),24.2
"합계","금천구",유치원,원아수 (명),소계,1299
"합계","금천구",유치원,학급현황,학급수 (학급),79
"합계","금천구",유치원,학급현황,학급당원아수 (명),16.4
"합계","금천구",초등학교,학생수 (명),소계,7631
"합계","금천구",초등학교,학급현황,학급수 (학급),403
"합계","금천구",초등학교,학급현황,학급당학생수 (명),18.9
"합계","금천구",중학교,학생수 (명),소계,3631
"합계","금천구",중학교,학급현황,학급수 (학급),170
"합계","금천구",중학교,학급현황,학급당학생수 (명),21.4
"합계","금천구",고등학교,학생수 (명),소계,3726
"합계","금천구",고등학교,학급현황,학급수 (학급),165
"합계","금천구",고등학교,학급현황,학급당학생수 (명),22.6
"합계","영등포구",유치원,원아수 (명),소계,3153
"합계","영등포구",유치원,학급현황,학급수 (학급),170
